src_office_id,route_id,delta_volume_expected,window_duration,cutoff_at,created_at
100,10,1200,600,2024-08-12 10:00:00,2024-08-13 16:18:50
200,20,800,600,2024-08-12 10:00:00,2024-08-13 16:18:50
300,30,200,600,2024-08-12 10:00:00,2024-08-13 16:18:50
400,40,1100,600,2024-08-12 10:00:00,2024-08-13 16:18:50
500,50,900,600,2024-08-12 10:00:00,2024-08-13 16:18:50
600,60,0,600,2024-08-12 10:00:00,2024-08-13 16:18:50
700,70,100,600,2024-08-12 10:00:00,2024-08-13 16:18:50
800,80,800,600,2024-08-12 10:00:00,2024-08-13 16:18:50
900,90,300,600,2024-08-12 10:00:00,2024-08-13 16:18:50
100,10,1100,600,2024-08-12 10:10:00,2024-08-13 16:18:50
200,20,1900,600,2024-08-12 10:10:00,2024-08-13 16:18:50
300,30,1200,600,2024-08-12 10:10:00,2024-08-13 16:18:50
400,40,200,600,2024-08-12 10:10:00,2024-08-13 16:18:50
500,50,0,600,2024-08-12 10:10:00,2024-08-13 16:18:50
600,60,0,600,2024-08-12 10:10:00,2024-08-13 16:18:50
700,70,1500,600,2024-08-12 10:10:00,2024-08-13 16:18:50
801,80,600,600,2024-08-12 10:10:00,2024-08-13 16:18:50
900,90,1000,600,2024-08-12 10:10:00,2024-08-13 16:18:50
100,10,700,600,2024-08-12 10:20:00,2024-08-13 16:18:50
200,20,1800,600,2024-08-12 10:20:00,2024-08-13 16:18:50
300,30,1400,600,2024-08-12 10:20:00,2024-08-13 16:18:50
400,40,400,600,2024-08-12 10:20:00,2024-08-13 16:18:50
500,50,600,600,2024-08-12 10:20:00,2024-08-13 16:18:50
600,60,500,600,2024-08-12 10:20:00,2024-08-13 16:18:50
700,70,1200,600,2024-08-12 10:20:00,2024-08-13 16:18:50
800,80,400,600,2024-08-12 10:20:00,2024-08-13 16:18:50
900,90,1500,600,2024-08-12 10:20:00,2024-08-13 16:18:50
100,10,900,600,2024-08-12 10:30:00,2024-08-13 16:18:50
200,20,400,600,2024-08-12 10:30:00,2024-08-13 16:18:50
300,30,1000,600,2024-08-12 10:30:00,2024-08-13 16:18:50
400,40,1400,600,2024-08-12 10:30:00,2024-08-13 16:18:50
500,50,1600,600,2024-08-12 10:30:00,2024-08-13 16:18:50
600,60,800,600,2024-08-12 10:30:00,2024-08-13 16:18:50
700,70,800,600,2024-08-12 10:30:00,2024-08-13 16:18:50
800,80,1300,600,2024-08-12 10:30:00,2024-08-13 16:18:50
900,90,1800,600,2024-08-12 10:30:00,2024-08-13 16:18:50
100,10,1500,600,2024-08-12 10:40:00,2024-08-13 16:18:50
200,20,800,600,2024-08-12 10:40:00,2024-08-13 16:18:50
300,30,1800,600,2024-08-12 10:40:00,2024-08-13 16:18:50
400,40,300,600,2024-08-12 10:40:00,2024-08-13 16:18:50
500,50,1300,600,2024-08-12 10:40:00,2024-08-13 16:18:50
600,60,1500,600,2024-08-12 10:40:00,2024-08-13 16:18:50
700,70,300,600,2024-08-12 10:40:00,2024-08-13 16:18:50
800,80,1200,600,2024-08-12 10:40:00,2024-08-13 16:18:50
900,90,400,600,2024-08-12 10:40:00,2024-08-13 16:18:50
100,10,600,600,2024-08-12 10:50:00,2024-08-13 16:18:50
200,20,800,600,2024-08-12 10:50:00,2024-08-13 16:18:50
300,30,100,600,2024-08-12 10:50:00,2024-08-13 16:18:50
400,40,100,600,2024-08-12 10:50:00,2024-08-13 16:18:50
500,50,600,600,2024-08-12 10:50:00,2024-08-13 16:18:50
600,60,800,600,2024-08-12 10:50:00,2024-08-13 16:18:50
700,70,1200,600,2024-08-12 10:50:00,2024-08-13 16:18:50
800,80,1100,600,2024-08-12 10:50:00,2024-08-13 16:18:50
900,90,100,600,2024-08-12 10:50:00,2024-08-13 16:18:50
100,10,900,600,2024-08-12 11:00:00,2024-08-13 16:18:50
200,20,200,600,2024-08-12 11:00:00,2024-08-13 16:18:50
300,30,1600,600,2024-08-12 11:00:00,2024-08-13 16:18:50
400,40,1100,600,2024-08-12 11:00:00,2024-08-13 16:18:50
500,50,1000,600,2024-08-12 11:00:00,2024-08-13 16:18:50
600,60,1400,600,2024-08-12 11:00:00,2024-08-13 16:18:50
700,70,400,600,2024-08-12 11:00:00,2024-08-13 16:18:50
800,80,1600,600,2024-08-12 11:00:00,2024-08-13 16:18:50
900,90,600,600,2024-08-12 11:00:00,2024-08-13 16:18:50
100,10,300,600,2024-08-12 11:10:00,2024-08-13 16:18:50
200,20,1400,600,2024-08-12 11:10:00,2024-08-13 16:18:50
300,30,1000,600,2024-08-12 11:10:00,2024-08-13 16:18:50
400,40,1700,600,2024-08-12 11:10:00,2024-08-13 16:18:50
500,50,0,600,2024-08-12 11:10:00,2024-08-13 16:18:50
600,60,600,600,2024-08-12 11:10:00,2024-08-13 16:18:50
700,70,1300,600,2024-08-12 11:10:00,2024-08-13 16:18:50
800,80,1700,600,2024-08-12 11:10:00,2024-08-13 16:18:50
900,90,100,600,2024-08-12 11:10:00,2024-08-13 16:18:50
100,10,700,600,2024-08-12 11:20:00,2024-08-13 16:18:50
200,20,700,600,2024-08-12 11:20:00,2024-08-13 16:18:50
300,30,1700,600,2024-08-12 11:20:00,2024-08-13 16:18:50
400,40,1300,600,2024-08-12 11:20:00,2024-08-13 16:18:50
500,50,1500,600,2024-08-12 11:20:00,2024-08-13 16:18:50
600,60,1300,600,2024-08-12 11:20:00,2024-08-13 16:18:50
